"","Intercept","Q2.00"
"ENSNFUG00015000629",8.83272643186173,0.000908343021393398
"ENSNFUG00015000634",5.82189452192083,0.00181805061155808
"ENSNFUG00015000636",1.78645927246689,-0.00136876625246016
"ENSNFUG00015000637",2.49523446990682,0.00238360678802465
"ENSNFUG00015000640",2.4282733203972,-0.000157552841792279
"ENSNFUG00015000645",1.88155552229471,-0.00770667550410307
"ENSNFUG00015000647",0.107423745722675,-0.000175300526132711
"ENSNFUG00015000648",-0.63226801130481,-0.0029038321592228
"ENSNFUG00015000652",0.244506766416415,0.000169770301267949
"ENSNFUG00015000654",-1.74831988714491,-0.00109564667509121
"ENSNFUG00015000655",4.46207188677472,0.000194059443883333
"ENSNFUG00015000656",10.8051414352477,-0.000528465300142846
"ENSNFUG00015000657",-1.84933800001461,-0.00257674440435002
"ENSNFUG00015000659",8.65287790045661,0.000355053783375519
"ENSNFUG00015000663",1.27663024462104,0.000904329169028711
"ENSNFUG00015000666",1.86318897306292,-0.0035777896507373
"ENSNFUG00015000668",0.500366122426318,-0.00238973131728642
"ENSNFUG00015000670",4.29880780993605,0.0011821970196165
"ENSNFUG00015000671",6.03964462173774,0.000110992463105672
"ENSNFUG00015000672",8.9437362335238,0.000186495364564578
"ENSNFUG00015000674",-0.777936372374677,-0.00316623672299083
"ENSNFUG00015000677",1.99969684851965,-0.00489664592792098
"ENSNFUG00015000678",-0.799229424001824,0.000714348232820948
"ENSNFUG00015000684",1.91107042423117,0.00042363510043264
"ENSNFUG00015000685",0.383507831306437,0.00423929789705041
"ENSNFUG00015000686",2.27278774461211,0.000309788243538929
"ENSNFUG00015000687",0.0707663138298792,0.000543573964255023
"ENSNFUG00015000690",1.61998427567231,0.00594751163208977
"ENSNFUG00015000692",4.3593308794755,0.00321595468244739
"ENSNFUG00015000693",0.780244015910975,-0.00198110883384627
"ENSNFUG00015000698",0.151548289534908,0.000783023405920727
"ENSNFUG00015000699",7.37780963589502,-0.00219398446943389
"ENSNFUG00015000701",9.11030772263875,-0.000120069093132543
"ENSNFUG00015000703",6.22957085871389,-0.00117757868175386
"ENSNFUG00015000706",4.81304507416709,-0.000933400498487483
"ENSNFUG00015000711",9.59654228106336,-0.00063361968531007
"ENSNFUG00015000718",0.0256607183840343,-0.00428642177386321
"ENSNFUG00015000722",6.81950964257338,0.000531288061082006
"ENSNFUG00015000724",1.43502935035614,-0.00317175249849129
"ENSNFUG00015000728",-0.508483722792652,-0.00138446777052968
