GENE,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs,FDR_p_values
ENSG00000288635,0.156275321107244,0.002870834035834,0.171623494254603,1.01871414644147,0.392739097760281,2,6.4973255703741,-4.99465114074819,-2.43842182228716,0.324000861581758,11,14,0.646137076212489
ENSG00000095981,0.156235697277151,0.002824005872996,0.779245518129465,1.01840802253824,0.392840551583666,2,-14.6849975009756,37.3699950019512,39.9262243204122,6.67945935277345,11,14,0.646164264214776
ENSG00000143434,0.156180436978148,0.002758698246902,0.221367755222608,1.01798114315296,0.392982077208684,2,2.93401366839818,2.13197266320363,4.68820198166467,0.539040513575261,11,14,0.646344406004313
ENSG00000160161,0.156060590658671,0.002617061687521,0.514675182318103,1.01705553635965,0.393289155652072,2,-8.87793498968159,25.7558699793632,28.3120992978242,2.9137959762359,11,14,0.646612889748856
ENSG00000196236,0.156010652702641,0.002558044103122,0.391568264338263,1.01666992908408,0.393417168033643,2,-5.05066929039086,18.1013385807817,20.6575678992427,1.68658276200568,11,14,0.64673706417556
ENSG00000114391,0.155995945174667,0.002540662479152,0.199607473964006,1.01655637026321,0.393454876228588,2,4.38262952820184,-0.765259056403673,1.79097026205736,0.438274580285205,11,14,0.64673706417556
ENSG00000115520,0.155983354824633,0.002525782974567,0.1654253227781,1.01645916160484,0.393487158602957,2,7.01229064318453,-6.02458128636906,-3.46835196790802,0.301020911578625,11,14,0.646742035907381
ENSG00000162062,0.155868962915074,0.002390592535997,0.168401035616821,1.01557608756265,0.393780565277924,2,6.76269331714197,-5.52538663428394,-2.9691573158229,0.311947996764997,11,14,0.64717616323186
ENSG00000113494,0.155852177663094,0.00237075542002,0.249098093719475,1.01544653017527,0.393823633247208,2,1.28171406466281,5.43657187067439,7.99280118913542,0.682548463241442,11,14,0.647198826327375
ENSG00000163683,0.15583217802238,0.002347119480994,0.158680926128478,1.01529216917464,0.393874953797485,2,7.59503278944309,-7.19006557888619,-4.63383626042515,0.276975999486908,11,14,0.647234017984668
ENSG00000171533,0.15581505865495,0.002326887501305,0.326728861244614,1.01516004447649,0.393918887700879,2,-2.51626035154999,13.0325207031,15.588750021561,1.17426923647222,11,14,0.647234017984668
ENSG00000204256,0.155808152837047,0.002318726080147,0.121243644172227,1.01510674793137,0.39393661142615,2,11.3623393091653,-14.7246786183306,-12.1684492998696,0.161700233773777,11,14,0.647234017984668
ENSG00000164683,0.155778744847139,0.002283971182982,0.309936129408158,1.01487979771858,0.394012094097506,2,-1.77755855057336,11.5551171011467,14.1113464196077,1.05666444743762,11,14,0.647234017984668
ENSG00000198844,0.1556612297806,0.002145089740708,0.173148238006918,1.01397305677534,0.394313842883719,2,6.37349551296013,-4.74699102592025,-2.19076170745922,0.329783435573902,11,14,0.647474929204027
ENSG00000099949,0.155576119751786,0.002044505161201,0.163115845117797,1.01331650921964,0.394532501813647,2,7.20911967393912,-6.41823934787824,-3.86201002941721,0.292674568213424,11,14,0.647494450200785
ENSG00000174021,0.155566273032689,0.002032868129541,0.224840934216273,1.01324055915274,0.394557805739866,2,2.71606413447118,2.56787173105764,5.12410104951867,0.556087902691711,11,14,0.647494450200785
