"","WT.16wk.7","WT.16wk.6","WT.16wk.2","YI.6wk.4","YI.6wk.2","YI.6wk.3","YI.6wk.1"
"ENSG00000149212",7.85500745072205,7.72983825443037,7.73526756369835,8.14130414462388,8.74470934859462,7.94549272603364,8.99943888662358
"ENSG00000149218",3.99720040288765,3.64065863050134,4.05012552606298,3.17606203409371,3.10855383788086,3.58770390442477,2.94879977096149
"ENSG00000149256",5.20654773107078,5.49112353127659,5.4847334966965,5.93752677984955,6.34099558859017,5.95713849196269,6.42850228389098
"ENSG00000149257",7.80438183785777,8.24821512321255,8.25504564731798,9.57104272312425,9.03418731516134,8.86407084585846,8.87760420548811
"ENSG00000149260",5.55166602693109,5.58030623824473,5.66151034322532,5.86476459818562,5.54692698331883,5.70337263366091,5.86118738908071
"ENSG00000149262",8.34131867619537,8.23454217336769,8.33545737979526,8.42473471009273,8.04996672042295,8.03640196381727,8.20205761296697
"ENSG00000149269",10.2149737777326,10.2124643821966,9.8229772995592,10.1892907569314,9.78571553771586,10.0677303396236,9.85353783120187
"ENSG00000149273",13.6698810751161,13.8934991418554,14.019220929596,13.4053781931475,13.2988744462296,13.5463844962585,13.2701090647401
"ENSG00000149294",7.38073576347596,7.3363955419113,7.52275210069525,7.37318281064787,7.5009993811303,7.55756332597923,7.6304580853243
"ENSG00000149295",0,0.967926403863383,0,2.32745259771721,3.10855383788086,0,1.69615180806442
"ENSG00000149305",0.998507557639726,1.54203726870682,2.29025335135033,1.5895677209228,0.96580050310476,1.001495956843,1.08418499834117
"ENSG00000149308",6.96282177042623,6.95800167585218,6.92640299059019,7.10488414984325,7.36580866814982,6.94548058251817,7.27112969242712
"ENSG00000149311",9.06848148905625,9.10014603933792,8.69171044932791,9.1818160986209,9.22550424206421,8.83903418246145,9.40902494955586
"ENSG00000149313",8.08978166128878,8.09522684892335,8.36129523256091,6.97263152625154,6.97570184385549,7.16284081075516,7.02037333550399
"ENSG00000149357",9.01103982252244,9.45485016728731,8.87625942397375,8.87107369748359,9.07044765877664,9.06637986170857,9.12920194957849
"ENSG00000149380",6.45647915986921,6.27579250870653,6.09015467354228,5.46617744308462,5.39181304875198,5.28831598434442,5.77527489146725
"ENSG00000149418",9.4727511995045,9.470488316408,9.42183324952626,8.83977724294487,8.9560462454862,9.24139015761783,8.99627780282805
"ENSG00000149428",9.24731689657879,9.3146015114543,8.64338922813402,9.5576399336231,9.51582540994194,9.29069796402185,9.57076705069848
"ENSG00000149452",10.5800982861189,10.7066509430668,10.7416792898677,11.4851639474292,11.7125602248547,12.0110680497349,11.7467595724216
"ENSG00000149474",8.77509750914294,8.86599682147513,8.6150326171293,8.61051097287331,8.61042363015632,8.80388356610415,8.5075468428968
"ENSG00000149476",10.3523669482774,10.4449440283858,10.3321037294526,9.8956383147259,9.78882798453891,9.97596717776583,9.76900807080031
"ENSG00000149480",8.18684836671285,7.95218798300522,8.03726138525071,8.0783390937904,8.16462583520714,7.94549272603364,8.1574735897788
"ENSG00000149483",5.52064051400711,5.71768921817907,5.4847334966965,5.7881368403197,6.28918716307158,5.42918564580937,6.22750446731238
"ENSG00000149488",0,0.967926403863383,0.980284928432738,1.00345529257122,1.94839185465466,1.001495956843,1.69615180806442
"ENSG00000149489",0,0,0,1.00345529257122,2.26681286924335,0,1.08418499834117
"ENSG00000149499",9.71297911475078,9.53326163217806,9.49368076062162,9.15409510993975,9.14520907721422,9.59357353948171,9.09710135490788
"ENSG00000149503",8.55926390276681,8.12022686911514,7.74183938222235,9.04580822766903,9.67904588114451,8.39958628096826,9.72767226760939
"ENSG00000149506",0,0,0,2.00517984048499,2.52750447621525,1.58695676533584,2.94879977096149
"ENSG00000149527",9.9970164892289,9.67835233402237,9.97714384757259,9.84924517186936,9.87189032020857,10.1180313206085,9.98692364785755
"ENSG00000149532",9.0631083376914,9.21135494144719,9.10247500729194,8.96689043440011,9.1597074531129,8.99733794356818,9.12631304976572
"ENSG00000149541",8.50481642292704,8.71006206458176,8.36555690812651,8.94057890279721,8.30602359388176,8.61769258762344,8.5075468428968
"ENSG00000149547",8.85810690483902,8.9296070555898,8.91457417125653,8.66152127135943,8.59272376358675,8.71722876921557,8.55128244111489
"ENSG00000149548",7.22585219028944,7.32783586495362,6.90313844646825,7.30147921873944,7.87942488966339,7.30675220540714,7.70979378501729
"ENSG00000149557",4.95130631317699,4.93719568944829,4.91579096843706,4.86464586207766,5.062078377196,4.90978138070996,5.06544932047836
"ENSG00000149564",5.55166602693109,5.55118695205751,5.89169380375596,5.83967153421739,5.97623879655061,6.0029436873043,5.88872440106836
"ENSG00000149571",0,1.54203726870682,1.9703254327758,2.59071673271139,2.52750447621525,2.58745490105114,1.69615180806442
"ENSG00000149573",7.81720576010949,8.01218485616895,7.885274855704,7.44149075391476,7.35744757783193,7.89172100844837,7.67858106127622
"ENSG00000149575",2.58247423837161,2.27026239936076,3.28624466021925,2.59071673271139,3.74318214654726,3.00261690738892,3.14424904326388
"ENSG00000149577",10.0522988149763,10.0772892916101,10.063621107653,9.82866870267754,9.89229139526426,10.0731085297287,9.83949505988681
"ENSG00000149582",1.58297223428682,0,0.980284928432738,1.00345529257122,2.26681286924335,2.00224335397196,1.08418499834117
"ENSG00000149591",11.5191056551611,12.0106180363464,12.2483056435643,12.0719802114288,12.1760407591877,12.3953072312191,12.2381673688976
"ENSG00000149596",7.69051496934435,8.06978596014072,8.49956372306763,7.7816579464423,7.47804421908076,7.94549272603364,7.46652805985389
"ENSG00000149635",1.99776075709562,2.75192704232411,3.13468752735064,2.81327322391151,2.52750447621525,3.81013189416367,1.69615180806442
"ENSG00000149639",6.06314737929497,6.04460934882333,6.09015467354228,6.67926016151031,6.78936279394789,6.81031861389112,6.58819113640202
"ENSG00000149654",3.45671693766903,4.52284825503743,4.05012552606298,4.53016486985385,4.51868494011179,4.00280364783244,4.40348544622886
"ENSG00000149657",1.58297223428682,1.54203726870682,0,1.00345529257122,0.96580050310476,1.58695676533584,0
"ENSG00000149658",8.801151278915,8.86894986081682,8.98827981527909,8.79152156070852,8.55665894136127,8.70342290130038,8.63089551155415
"ENSG00000149679",7.55927181149375,7.23016685726624,7.29146358997412,7.44149075391476,7.7765689261706,7.63233189690086,7.7776471968475
"ENSG00000149735",0.998507557639726,0,1.55861541060396,1.5895677209228,2.74822113745254,1.58695676533584,2.45436271746971
"ENSG00000149743",6.472780590501,6.53572028829572,6.02698658581755,5.81413428470864,5.99791784210469,6.23176922382584,6.13854828292051
"ENSG00000149761",9.35457013158658,9.52579662611955,9.36974683751429,9.11802554777782,9.28843067815999,9.45006931055869,9.30044342360594
"ENSG00000149781",8.55161037229119,8.30601138036734,8.11018555887185,7.51465913478853,7.73844205450321,8.46241349616577,7.83539367941668
"ENSG00000149782",11.2384021686038,11.0975437923894,11.0006055397307,10.8061800868013,10.5917016446971,10.7917070081216,10.6342770492992
"ENSG00000149792",6.9970369252377,7.19294499767262,7.20848902700861,6.9016622273053,6.9425474694623,6.79737931789063,6.89018679580364
"ENSG00000149806",12.7389022789374,12.9887178607393,13.0958501555361,12.5309530790383,12.4029661690698,12.6720964167817,12.425496845269
"ENSG00000149809",9.4727511995045,9.67498173079568,9.01836395003597,9.96399744353166,10.1512083429,9.5954435318536,10.1479929136306
"ENSG00000149823",8.17194959661055,8.27962358203893,8.21309411347352,8.12581863268184,8.00784880186443,8.08512838229363,7.79230195378642
"ENSG00000149922",0,0,0,0,0,1.58695676533584,1.69615180806442
"ENSG00000149923",8.89183761358099,8.82400674865736,8.87625942397375,9.07566778452198,9.35713840043936,8.89476777832892,9.43026251014152
"ENSG00000149925",5.82995603076523,5.6912393305066,6.4364823642284,9.47449815367624,5.86267002072388,6.87332955126778,5.51749922684502
"ENSG00000149926",6.4399914275525,6.39530899425832,6.48429614496644,6.7881994429777,7.13092526700368,6.87332955126778,7.17375417807079
"ENSG00000149927",2.31953944547385,0.967926403863383,0.980284928432738,2.00517984048499,2.74822113745254,2.58745490105114,2.94879977096149
"ENSG00000149929",4.38947334378662,3.74721047347719,3.66382961694706,5.29212797734483,5.35868362524392,4.90978138070996,5.58638801220197
"ENSG00000149930",8.76189203296267,8.55367785272411,8.76128685874678,9.30151211352457,9.4045760611559,8.9859780351,9.48541348833641
"ENSG00000149932",6.77840046052927,6.93564183561969,6.49988829659014,6.39913777550889,6.48611366622325,6.42922038272775,6.4471437684284
"ENSG00000149970",5.16702161114362,5.91345634212559,5.86785805527306,5.56134466630972,5.66002846946326,5.5878906287554,5.96831562463566
"ENSG00000149972",4.08465225462466,4.18653929542317,2.96531978284202,3.46570782635001,4.45741260060718,3.81013189416367,4.6161062776
"ENSG00000150051",4.69756826500277,5.66429544863317,5.54609760044664,4.00647189993001,5.42419874912836,5.25083926311753,5.2034234765079
"ENSG00000150054",8.03594392603196,7.90693141371996,7.885274855704,8.11540183724628,8.27971624758591,8.23660011635785,8.05789454200809
