,Unnamed: 0,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,HGNC
17494,ENSNFUG00015004908,187.364678975115,0.0004952956521042,0.001022819699924,0.484245319229866,0.628211777518756,0.963212748310709,TNFRSF14
17580,ENSNFUG00015005878,613.596113558012,0.0015033528022823,0.0006729339874361,2.23402715622992,0.0254812862958315,0.627117962733551,PREX1
17681,ENSNFUG00015007582,71.5313821782182,-0.0004873479064496,0.000892022036393,-0.546340658152645,0.584831793019585,0.957469450145296,CD34
18733,ENSNFUG00015007037,61638.8050860656,0.0025839486478165,0.0012044243075367,2.14538068656315,0.0319224220019431,0.654639783252395,LGMN
19148,ENSNFUG00015019301,1288.45285813261,0.0002833311058102,0.0007976742159197,0.355196520278159,0.722442371407102,0.974830478530766,THBS1
19272,ENSNFUG00015021105,15.0198450416732,0.0030635001507641,0.0024087417865135,1.27182588350337,0.203434990294468,0.841780601463904,PGF
19298,ENSNFUG00015021495,41.563161958225,0.0015661813311039,0.0014739209309865,1.06259521672957,0.287965557135644,0.885830496553246,GREM1
19584,ENSNFUG00015006267,153.319631055013,0.003127599229359,0.0008347503962602,3.74674782230843,0.0001791420157886,0.0982743241613671,VCAM1
19606,ENSNFUG00015007078,259.018630987938,0.0011740191932139,0.0007363711842739,1.59433071022658,0.110861982752979,0.780783462677796,PDE4B
19653,ENSNFUG00015008755,92.8202096581589,-0.0001883635296944,0.0008654319434601,-0.217652619732705,0.827699782556135,0.986691469734141,PIP5K1C
19718,ENSNFUG00015010982,4519.56125212391,0.0014156909936257,0.0024518670771049,0.577393043385257,0.563673972542506,0.956222273948933,ELANE
19730,ENSNFUG00015013488,259.93511891561,0.0011501923636946,0.001580521708272,0.727729557699114,0.466779152945033,0.935785350879246,KIT
19828,ENSNFUG00015017297,35.6829397826533,0.0029080872466715,0.0016912917584779,1.71944741768781,0.0855329344002816,0.757080148878655,PLVAP
20133,ENSNFUG00015024999,28.4301793696479,0.006727930757639,0.002964214112914,2.26971821243537,0.0232246856686306,0.624194535497111,SELE
20465,ENSNFUG00015010865,1.00831680011261,0.0104791356902087,0.0058032641646355,1.80573129068763,0.0709603225120523,,PTGER4
20998,ENSNFUG00015023372,1105.0528930148,0.0018649210296219,0.0008737735391886,2.13432994475165,0.0328157817106079,0.655867071890382,SLC8B1
21086,ENSNFUG00015024247,54.2963125544761,0.0042987189173156,0.001546923395699,2.77888286470268,0.0054546190598834,0.433203868386909,ADD2
21714,ENSNFUG00015022277,59.2386354716137,0.0010870725425857,0.000877371414802,1.2390106678265,0.215341547441099,0.850869240793533,SDC3
21747,ENSNFUG00015022705,559.893697110984,0.0011844910505618,0.000702156731854,1.68693255626029,0.0916163211251093,0.761896516077173,MYO1G
22410,ENSNFUG00015015699,228.901766859006,0.0021321043542159,0.0010914461405454,1.95346730819938,0.0507642473967859,0.705869171729697,RHOG
22431,ENSNFUG00015017735,990.902387030169,0.0001038284667032,0.0003749052665456,0.276945873980288,0.781821667329894,0.979210813552643,GLG1
23677,ENSNFUG00015018119,43.0308364797862,0.0019397645484264,0.0014497355280706,1.33801270015642,0.180892296803202,0.829228855008623,EDN2
23871,ENSNFUG00015017222,9.26913799607847,0.0012970804062045,0.0020499783793105,0.632728822555095,0.526910744544463,0.946552584879232,ANGPT2
24376,ENSNFUG00015016060,330.545255664933,0.0013094070711809,0.0007771677620513,1.68484481101582,0.0920185167451665,0.762919264147898,CYP7B1
24383,ENSNFUG00015016879,10.1481639908396,0.0006301336802828,0.0020018535185209,0.314775119384583,0.752932403988485,0.977223869868361,GPC1
24521,ENSNFUG00015014834,162.734710186906,0.0124333331317488,0.0053293835269491,2.33297773914695,0.0196493136982716,0.605585176328497,IGHM
25343,ENSNFUG00015015068,5.05554915890911,0.0039562767375216,0.0025893809658576,1.52788515467106,0.126541054678508,0.795376312201063,FCAMR
